"Hyperparameters: —episodes 1e5 —seed 25 —learn_rate 0.01— e_init 1 —e_final 0 —discount 0.95
slippery = False",,
episode_num,total_reward,episode_length
1466,0.0,14
1467,0.0,3
1468,0.0,8
1469,0.0,11
1470,0.0,3
1471,0.0,9
1472,0.0,4
1473,0.0,9
1474,0.0,11
1475,0.0,3
1476,0.0,39
1477,0.0,8
1478,0.0,14
1479,0.0,2
1480,0.0,16
1481,0.0,9
1482,0.0,3
1483,0.0,7
1484,0.0,2
1485,0.0,6
1486,1.0,12
1487,0.0,5
1488,0.0,9
1489,0.0,4
1490,0.0,3
1491,0.0,8
1492,0.0,9
1493,0.0,4
1494,0.0,14
1495,0.0,5
1496,0.0,3
1497,0.0,2
1498,0.0,11
1499,0.0,3
1500,0.0,5
1501,0.0,9
1502,0.0,2
1503,0.0,7
1504,0.0,5
1505,0.0,11
1506,0.0,10
1507,0.0,7
1508,0.0,7
1509,0.0,8
1510,0.0,10
1511,0.0,4
1512,0.0,6
1513,0.0,3
1514,0.0,9
1515,0.0,29
1516,0.0,28
1517,0.0,12
1518,0.0,4
1519,0.0,16
1520,0.0,5
1521,0.0,9
1522,0.0,4
1523,0.0,5
1524,0.0,7
1525,0.0,5
1526,0.0,2
1527,0.0,6
1528,0.0,4
1529,0.0,6
1530,0.0,4
1531,0.0,6
1532,0.0,6
1533,0.0,27
1534,0.0,12
1535,0.0,8
1536,0.0,8
1537,0.0,2
1538,0.0,9
1539,0.0,8
1540,0.0,3
1541,0.0,4
1542,0.0,7
1543,0.0,7
1544,0.0,15
1545,0.0,6
1546,0.0,3
1547,0.0,12
1548,0.0,5
1549,0.0,5
1550,0.0,23
1551,0.0,9
1552,0.0,7
1553,0.0,9
1554,0.0,10
1555,0.0,20
1556,0.0,5
1557,0.0,3
1558,0.0,2
1559,0.0,10
1560,0.0,6
1561,0.0,11
1562,0.0,13
1563,0.0,4
1564,0.0,8
1565,0.0,2
1566,0.0,3
1567,0.0,8
1568,0.0,20
1569,0.0,10
1570,0.0,19
1571,0.0,2
1572,0.0,19
1573,0.0,26
1574,0.0,4
1575,0.0,14
1576,0.0,15
1577,0.0,4
1578,0.0,4
1579,0.0,7
1580,0.0,10
1581,0.0,8
1582,0.0,10
1583,0.0,9
1584,0.0,11
1585,0.0,13
1586,0.0,24
1587,0.0,5
1588,0.0,6
1589,0.0,7
1590,0.0,6
1591,0.0,8
1592,0.0,5
1593,0.0,4
1594,0.0,9
1595,0.0,26
1596,0.0,8
1597,0.0,5
1598,0.0,18
1599,0.0,2
1600,0.0,6
1601,0.0,11
1602,0.0,3
1603,0.0,8
1604,0.0,8
1605,0.0,8
1606,0.0,16
1607,0.0,4
1608,0.0,6
1609,0.0,8
1610,0.0,3
1611,0.0,2
1612,0.0,3
1613,0.0,30
1614,0.0,4
1615,0.0,12
1616,0.0,6
1617,0.0,3
1618,0.0,7
1619,0.0,6
1620,0.0,12
1621,0.0,7
1622,0.0,8
1623,0.0,5
1624,0.0,11
1625,0.0,21
1626,0.0,4
1627,0.0,10
1628,0.0,11
1629,0.0,7
1630,0.0,7
1631,0.0,7
